Income Under 20K  ,-0.566482092,0.789947547,0.93754082,0.708145453,-1.088609884,-0.389489018,-0.100813517,-0.524690786,-1.474368564,Financial
Income 20K-50K  ,0.508487964,-0.465428435,-0.595946945,-0.181273218,-0.109906295,0.294727858,0.499359026,0.574243903,0.073130631,Financial
Income 50K Plus  ,0.530454759,-0.824978739,-0.935039456,-0.752389363,1.291871052,0.487493341,0.043995107,0.4961707,1.473369677,Financial
Social Rented  ,-0.567191461,-0.248851551,0.876549785,1.000104408,-0.645911782,-0.169975468,-0.300391198,-0.621318928,-0.874535049,Financial
Owns with Mortgage or Loan  ,0.566739335,-0.156406846,-0.814163659,-0.570050806,0.17406136,0.109820504,0.607637044,0.389759067,0.993387392,Financial
Private or Free Rent  ,-0.349592992,1.207878203,0.525122721,0.111860904,-0.528818211,-0.26497003,0.282217634,-0.628025056,-1.077485884,Financial
Has Internet Access  ,0.475444247,-0.884189992,-0.854366918,-0.479270811,1.039150012,0.435082778,-0.022432678,0.576186122,1.203074563,Online
Online Never  ,-0.599432156,0.723978853,0.960270026,0.785758992,-1.077634548,-0.37516733,0.065549914,-0.710084699,-1.44639748,Online
Online Often  ,0.24381788,-0.566397128,-0.628284018,-0.594656821,1.395906345,0.410164063,-0.081394729,0.102728865,1.248771344,Online
Online Sometimes or Rarely  ,0.648030364,-0.646667285,-0.892883008,-0.695859729,0.626157123,0.304928563,-0.006341232,0.871800232,1.105512668,Online
IUC Online Retail Engagement  ,0.34893646,1.362776329,-0.982662893,-0.892164964,0.424213216,0.067492259,0.863243941,-0.073317881,1.061975321,Online
High PT Supermarket Access  ,0.97511128,0.947195439,0.97511128,-1.02552398,-1.014405479,-1.02552398,-1.02552398,-1.02552398,-1.02552398,Accessibility
High PT Suburban Access  ,-0.103869896,0.491341056,0.322474464,-0.111633833,-0.270277695,-0.271650688,-0.123376735,-0.207042461,-0.258049488,Accessibility
High Car Access Supermarket  ,0.152848452,0.153783998,0.153783998,0.145044728,-1.517832968,-0.138465457,0.139597274,0.151805867,0.136606163,Accessibility
Urban Setting  ,0.025263372,0.456376954,0.3839194,0.403406236,-2.142342522,-2.142342522,0.466778767,0.466778767,0.466778767,Accessibility
No Cars or Vans in Household  ,-0.48115986,0.790728837,0.961624576,0.733540804,-1.400588047,-0.72260536,-0.195224354,-0.44894226,-1.222529726,Accessibility
